"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","254","Проверка ответов на вопросы в разделе 'Вопросы о важном'","tests","2025-10-28","passed","2025-10-28","TestQuestions","test_questions","",""
"","254","Проверка ответов на вопросы в разделе 'Вопросы о важном'","tests","2025-10-28","passed","2025-10-28","TestQuestions","test_questions","",""
"","380","Проверка ответов на вопросы в разделе 'Вопросы о важном'","tests","2025-10-28","passed","2025-10-28","TestQuestions","test_questions","",""
"","233","Проверка ответов на вопросы в разделе 'Вопросы о важном'","tests","2025-10-28","passed","2025-10-28","TestQuestions","test_questions","",""
"","698","Проверка открытия Дзена при клике на логотип Яндекса","tests","2025-10-28","passed","2025-10-28","TestLogos","test_logos","",""
"","251","Проверка ответов на вопросы в разделе 'Вопросы о важном'","tests","2025-10-28","passed","2025-10-28","TestQuestions","test_questions","",""
"","268","Проверка ответов на вопросы в разделе 'Вопросы о важном'","tests","2025-10-28","passed","2025-10-28","TestQuestions","test_questions","",""
"","2657","Проверка позитивного сценария заказа самоката через верхнюю кнопку","tests","2025-10-28","passed","2025-10-28","","test_order","",""
"","259","Проверка ответов на вопросы в разделе 'Вопросы о важном'","tests","2025-10-28","passed","2025-10-28","TestQuestions","test_questions","",""
"","261","Проверка ответов на вопросы в разделе 'Вопросы о важном'","tests","2025-10-28","passed","2025-10-28","TestQuestions","test_questions","",""
"","4619","Проверка позитивного сценария заказа самоката через нижнюю кнопку","tests","2025-10-28","passed","2025-10-28","","test_order","",""
"","337","Проверка перехода на главную страницу при клике на логотип Самоката","tests","2025-10-28","passed","2025-10-28","TestLogos","test_logos","",""
